No,Prodi,Angkatan,Kepuasan,IPK,Sikap
1,A,2016,82,3.05,Setuju
2,A,2016,86,3.33,Setuju
3,A,2016,90,3.60,Setuju
4,A,2016,60,2.40,Tidak Setuju
5,A,2016,80,3.00,Setuju
6,A,2016,70,3.52,abstain
7,A,2016,90,3.80,Setuju
8,A,2016,80,3.40,Setuju
9,A,2016,90,3.80,Setuju
10,A,2016,80,3.96,Setuju
11,A,2016,85,3.60,Setuju
12,A,2016,70,2.80,abstain
13,A,2016,80,3.00,Setuju
14,A,2016,70,2.60,abstain
15,A,2016,85,3.80,Setuju
16,A,2016,75,3.40,abstain
17,A,2016,80,3.80,Setuju
18,A,2016,85,3.20,Setuju
19,A,2016,85,3.20,Setuju
20,A,2016,65,3.00,Tidak Setuju
21,A,2016,80,3.20,Setuju
22,A,2016,90,4.00,Setuju
23,A,2016,90,3.60,Setuju
24,A,2016,100,4.00,Setuju
25,A,2016,100,4.00,Setuju
26,A,2016,100,4.00,Setuju
27,A,2016,100,4.00,Setuju
28,A,2016,80,3.60,Setuju
29,A,2016,85,3.20,Setuju
30,A,2016,85,3.40,Setuju
31,A,2016,90,3.80,Setuju
32,A,2016,70,3.20,abstain
33,A,2016,85,4.00,Setuju
34,A,2016,85,3.40,Setuju
35,A,2016,70,2.72,abstain
36,A,2016,80,4.00,Setuju
37,A,2016,80,3.20,Setuju
38,A,2016,80,3.60,Setuju
39,A,2016,85,3.60,Setuju
40,A,2016,90,4.00,Setuju
41,A,2016,95,3.80,Setuju
42,A,2016,99,3.96,Setuju
43,A,2016,90,3.40,Setuju
44,A,2016,80,3.20,Setuju
45,A,2016,90,3.96,Setuju
46,A,2016,80,3.00,Setuju
47,A,2016,75,3.20,abstain
48,A,2016,90,3.60,Setuju
49,A,2016,75,3.00,abstain
50,A,2016,80,3.96,Setuju
51,A,2016,75,3.00,abstain
52,A,2016,90,3.60,Setuju
53,A,2016,90,4.00,Setuju
54,A,2016,95,3.80,Setuju
55,A,2016,70,2.80,abstain
56,A,2016,95,3.60,Setuju
57,A,2016,95,3.60,Setuju
58,A,2016,85,3.40,Setuju
59,A,2016,88,3.56,Setuju
60,A,2016,90,0.00,Setuju
61,A,2016,90,3.40,Setuju
62,A,2016,85,3.60,Setuju
63,A,2016,70,2.80,abstain
64,A,2016,75,3.00,abstain
65,A,2016,80,4.00,Setuju
66,A,2016,90,4.00,Setuju
67,A,2016,80,3.20,Setuju
68,A,2016,80,3.60,Setuju
69,A,2016,90,3.60,Setuju
70,A,2016,85,3.40,Setuju
71,A,2017,85,3.20,Setuju
72,A,2017,90,3.80,Setuju
73,A,2017,70,2.80,abstain
74,A,2017,40,1.60,Tidak Setuju
75,A,2017,75,3.43,abstain
76,A,2017,75,3.00,abstain
77,A,2017,95,3.80,Setuju
78,A,2017,80,3.20,Setuju
79,A,2017,80,3.20,Setuju
80,A,2017,75,3.00,abstain
81,A,2017,95,3.80,Setuju
82,A,2017,90,3.40,Setuju
83,A,2017,80,3.20,Setuju
84,A,2017,100,3.60,Setuju
85,A,2017,90,3.20,Setuju
86,A,2017,90,3.60,Setuju
87,A,2017,89,3.20,Setuju
88,A,2017,60,4.00,Tidak Setuju
89,A,2017,95,3.80,Setuju
90,A,2017,80,2.80,Setuju
91,A,2017,95,3.80,Setuju
92,A,2017,85,3.40,Setuju
93,A,2017,80,3.20,Setuju
94,A,2017,90,3.20,Setuju
95,A,2017,90,3.60,Setuju
96,A,2017,50,1.80,Tidak Setuju
97,A,2017,90,3.60,Setuju
98,A,2017,80,3.20,Setuju
99,A,2017,65,3.00,Tidak Setuju
100,A,2017,100,3.60,Setuju
101,A,2017,85,3.60,Setuju
102,A,2017,90,3.60,Setuju
103,A,2017,80,3.80,Setuju
104,A,2017,90,3.20,Setuju
105,A,2017,90,3.20,Setuju
106,A,2017,85,3.40,Setuju
107,A,2017,50,2.00,Tidak Setuju
108,A,2017,90,3.60,Setuju
109,A,2017,100,4.00,Setuju
110,A,2017,100,3.60,Setuju
111,A,2017,90,2.80,Setuju
112,A,2017,100,3.60,Setuju
113,A,2017,85,3.60,Setuju
114,A,2017,90,3.60,Setuju
115,A,2017,80,3.24,Setuju
116,A,2017,90,3.60,Setuju
117,A,2017,80,3.20,Setuju
118,A,2017,85,3.40,Setuju
119,A,2017,100,4.00,Setuju
120,A,2017,90,3.80,Setuju
121,A,2017,80,3.20,Setuju
122,A,2017,85,3.40,Setuju
123,A,2017,90,3.80,Setuju
124,A,2017,90,3.60,Setuju
125,A,2017,60,2.00,Tidak Setuju
126,A,2017,80,3.40,Setuju
127,B,2016,80,3.20,Setuju
128,B,2016,80,3.20,Setuju
129,B,2016,85,3.20,Setuju
130,B,2016,95,4.00,Setuju
131,B,2016,99,3.60,Setuju
132,B,2016,90,2.40,Setuju
133,B,2016,99,3.96,Setuju
134,B,2016,90,3.60,Setuju
135,B,2016,98,4.00,Setuju
136,B,2016,75,3.20,abstain
137,B,2016,80,3.60,Setuju
138,B,2016,85,2.40,Setuju
